Player,No.,Age,Pos,G,GS,Wt,Ht,College/Univ,BirthDate,Yrs,AV,Drafted (tm/rnd/yr),Player-additional
Deonte Banks,25.0,22.0,CB,15,15.0,200.0,,Maryland,3/3/01,Rook,5.0,New York Giants / 1st / 24th pick / 2023,BankDe00
Saquon Barkley,26.0,26.0,RB,14,14.0,232.0,6-1,Penn St.,2/9/97,5,6.0,New York Giants / 1st / 2nd pick / 2018,BarkSa00
Boogie Basham,45.0,26.0,OLB,13,0.0,274.0,6-3,Wake Forest,12/16/97,2,1.0,Buffalo Bills / 2nd / 61st pick / 2021,BashCa00
Darrian Beavers,43.0,24.0,LB,2,0.0,255.0,6-4,ConnecticutCincinnati,7/5/99,Rook,0.0,New York Giants / 6th / 182nd pick / 2022,BeavDa00
Daniel Bellinger,82.0,23.0,TE,17,13.0,255.0,6-6,San Diego St.,9/22/00,1,2.0,New York Giants / 4th / 112th pick / 2022,BellDa00
Dane Belton,24.0,23.0,S,17,2.0,190.0,6-1,Iowa,12/7/00,1,2.0,New York Giants / 4th / 114th pick / 2022,BeltDa00
Ben Bredeson,68.0,25.0,G,16,16.0,310.0,6-5,Michigan,2/20/98,3,5.0,Baltimore Ravens / 4th / 143rd pick / 2020,BredBe00
Matt Breida,31.0,28.0,RB,17,4.0,195.0,5-10,Georgia Southern,2/28/95,6,1.0,,BreiMa00
Cam Brown,47.0,25.0,LB,16,0.0,235.0,6-5,Penn St.,4/1/98,3,1.0,New York Giants / 6th / 183rd pick / 2020,BrowCa01
Parris Campbell,0.0,26.0,WR,12,3.0,205.0,6-1,Ohio St.,7/16/97,4,1.0,Indianapolis Colts / 2nd / 59th pick / 2019,CampPa00
Jashaun Corbin,35.0,23.0,RB,6,0.0,203.0,5-11,Texas A&MFlorida St.,8/20/00,Rook,0.0,,CorbJa01
Carter Coughlin,52.0,26.0,LB,17,0.0,240.0,6-3,Minnesota,7/21/97,3,1.0,New York Giants / 7th / 218th pick / 2020,CougCa00
D.J. Davidson,98.0,26.0,DL,15,2.0,320.0,6-3,Arizona St.,9/19/97,1,2.0,New York Giants / 5th / 147th pick / 2022,DaviDJ00
Tommy DeVito,15.0,25.0,QB,9,6.0,210.0,6-2,SyracuseIllinois,8/7/98,Rook,4.0,,DeViTo00
Jacob Eason,5.0,26.0,QB,0,0.0,231.0,6-6,GeorgiaWashington,11/17/97,2,,Indianapolis Colts / 4th / 122nd pick / 2020,EasoJa00
Cordale Flott,28.0,22.0,CB,14,7.0,175.0,6-2,LSU,8/24/01,1,3.0,New York Giants / 3rd / 81st pick / 2022,FlotCo00
Jamie Gillan,6.0,26.0,P,17,0.0,207.0,6-1,Ark-Pine Bluff,7/4/97,4,2.0,,GillJa00
Mark Glowinski,64.0,31.0,G,13,6.0,310.0,6-4,LackawannaWest Virginia,5/3/92,8,2.0,Seattle Seahawks / 4th / 134th pick / 2015,GlowMa00
Eric Gray,20.0,24.0,RB,13,0.0,211.0,,TennesseeOklahoma,11/4/99,Rook,0.0,New York Giants / 5th / 172nd pick / 2023,GrayEr01
Sean Harlow,65.0,28.0,OL,7,0.0,284.0,6-4,Oregon St.,3/28/95,4,0.0,Atlanta Falcons / 4th / 136th pick / 2017,HarlSe00
Tre Hawkins,37.0,23.0,CB,17,3.0,195.0,6-3,Trinity Valley CC (TX)Old Dominion,8/1/00,Rook,2.0,New York Giants / 6th / 209th pick / 2023,HawkTr00
Isaiah Hodgins,18.0,25.0,WR,17,9.0,200.0,6-3,Oregon St.,10/21/98,2,2.0,Buffalo Bills / 6th / 207th pick / 2020,HodgIs00
Darnay Holmes,30.0,25.0,CB,16,0.0,195.0,5-10,UCLA,6/23/98,3,1.0,New York Giants / 4th / 110th pick / 2020,HolmDa01
Timmy Horne,96.0,26.0,DL,1,0.0,323.0,6-4,CharlotteKansas St.,10/25/97,1,0.0,,HornTi00
Jalin Hyatt,13.0,22.0,WR,17,7.0,185.0,,Tennessee,9/25/01,Rook,3.0,New York Giants / 3rd / 73rd pick / 2023,HyatJa00
Adoree' Jackson,22.0,28.0,CB,14,14.0,185.0,5-11,USC,9/18/95,6,4.0,Tennessee Titans / 1st / 18th pick / 2017,JackAd00
Tyree Jackson,84.0,26.0,TE,2,1.0,249.0,6-7,Buffalo,11/7/97,2,0.0,,JackTy01
Casey Kreiter,59.0,33.0,LS,17,0.0,250.0,6-1,Iowa,8/13/90,7,1.0,,KreiCa00
Dexter Lawrence,97.0,26.0,DL,16,16.0,340.0,6-4,Clemson,11/12/97,4,14.0,New York Giants / 1st / 17th pick / 2019,LawrDe03
Nick McCloud,44.0,25.0,CB,17,3.0,193.0,6-1,North Carolina St.Notre Dame,7/9/98,2,2.0,,McClNi00
Micah McFadden,41.0,23.0,LB,16,14.0,232.0,6-2,Indiana,1/3/00,1,8.0,New York Giants / 5th / 146th pick / 2022,McFaMi01
Marcus McKethan,60.0,24.0,OL,16,5.0,335.0,6-7,North Carolina,5/19/99,Rook,2.0,New York Giants / 5th / 173rd pick / 2022,McKeMa01
Xavier McKinney,29.0,24.0,S,17,17.0,201.0,6-1,Alabama,8/9/99,3,6.0,New York Giants / 2nd / 36th pick / 2020,McKiXa00
Rakeem Nunez-Roches,93.0,30.0,DL,16,4.0,305.0,6-2,Southern Miss,7/3/93,8,3.0,Kansas City Chiefs / 6th / 217th pick / 2015,NuneRa00
Azeez Ojulari,51.0,23.0,OLB,11,7.0,240.0,6-3,Georgia,6/16/00,2,4.0,New York Giants / 2nd / 50th pick / 2021,OjulAz00
Bobby Okereke,58.0,27.0,LB,17,17.0,235.0,6-1,Stanford,7/29/96,4,8.0,Indianapolis Colts / 3rd / 89th pick / 2019,OkerBo00
Gunner Olszewski,80.0,27.0,WR,10,0.0,190.0,6-1,Bemidji St.,11/26/96,4,1.0,,OlszGu00
Gervarrius Owens,39.0,24.0,S,3,0.0,200.0,,NE Oklahoma A&MHouston,10/14/99,Rook,0.0,New York Giants / 7th / 254th pick / 2023,OwenGe00
Matt Peart,74.0,26.0,T,8,1.0,315.0,6-7,Connecticut,6/11/97,3,1.0,New York Giants / 3rd / 99th pick / 2020,PearMa00
Justin Pugh,67.0,33.0,OL,12,12.0,311.0,6-5,Syracuse,8/15/90,10,4.0,New York Giants / 1st / 19th pick / 2013,PughJu00
Jordon Riley,95.0,25.0,DL,8,0.0,315.0,6-5,North CarolinaGarden City (KS)NebraskaOregon,5/19/98,Rook,1.0,New York Giants / 7th / 243rd pick / 2023,RileJo00
A'Shawn Robinson,91.0,28.0,DL,17,13.0,330.0,6-4,Alabama,3/21/95,7,6.0,Detroit Lions / 2nd / 46th pick / 2016,RobiAS00
Wan'Dale Robinson,17.0,22.0,WR,15,8.0,185.0,5-8,NebraskaKentucky,1/5/01,1,4.0,New York Giants / 2nd / 43rd pick / 2022,RobiWa01
John Michael Schmitz,61.0,24.0,C,13,13.0,320.0,,Minnesota,3/19/99,Rook,4.0,New York Giants / 2nd / 57th pick / 2023,MichJo00
Sterling Shepard,3.0,30.0,WR,15,2.0,198.0,5-10,Oklahoma,2/10/93,7,0.0,New York Giants / 2nd / 40th pick / 2016,ShepSt00
Isaiah Simmons,19.0,25.0,S,17,4.0,238.0,6-4,Clemson,7/26/98,3,2.0,Arizona Cardinals / 1st / 8th pick / 2020,SimmIs00
Darius Slayton,86.0,26.0,WR,17,13.0,198.0,6-1,Auburn,1/12/97,4,6.0,New York Giants / 5th / 171st pick / 2019,SlayDa01
Tyrod Taylor,2.0,34.0,QB,11,5.0,217.0,6-1,Virginia Tech,8/3/89,12,5.0,Baltimore Ravens / 6th / 180th pick / 2011,TaylTy00
Kayvon Thibodeaux,5.0,23.0,OLB,17,17.0,258.0,6-5,Oregon,12/15/00,1,9.0,New York Giants / 1st / 5th pick / 2022,ThibKa00
Andrew Thomas,78.0,24.0,T,10,10.0,315.0,6-5,Georgia,1/22/99,3,4.0,New York Giants / 1st / 4th pick / 2020,ThomAn02
Darren Waller,12.0,31.0,TE,12,11.0,238.0,6-6,Georgia Tech,9/13/92,8,4.0,Baltimore Ravens / 6th / 204th pick / 2015,WallDa01
Jihad Ward,55.0,29.0,OLB,17,9.0,285.0,6-5,Illinois,5/11/94,7,5.0,Oakland Raiders / 2nd / 44th pick / 2016,WardJi02
Benton Whitley,48.0,24.0,OLB,3,0.0,260.0,6-3,Holy Cross,2/12/99,Rook,1.0,,WhitBe00
Aaron Robinson (PUP),33.0,26.0,CB,0,0.0,195.0,6-1,AlabamaCentral Florida,11/10/97,2,,New York Giants / 3rd / 71st pick / 2021,RobiAa00
Ryder Anderson (NWT),90.0,25.0,DL,0,0.0,280.0,6-6,MississippiIndiana,10/15/98,1,,,AndeRy01
Yodny Cajuste (NWT),72.0,27.0,T,0,0.0,310.0,6-5,West Virginia,2/21/96,2,,New England Patriots / 3rd / 101st pick / 2019,CajuYo00
Chase Cota (NWT),,24.0,WR,0,0.0,205.0,6-4,Oregon,11/9/99,Rook,,,CotaCh00
Tomon Fox (NWT),49.0,25.0,OLB,1,0.0,245.0,6-2,North Carolina,3/16/98,1,0.0,,FoxxTo00
Kaleb Hayes (NWT),38.0,24.0,DB,0,0.0,195.0,6-1,BYU,3/19/99,Rook,,,HayeKa00
Dennis Houston (NWT),88.0,24.0,WR,0,0.0,198.0,6-1,Western Illinois,4/24/99,1,,,HousDe01
Deon Jackson (NWT),34.0,24.0,RB,1,0.0,216.0,5-11,Duke,2/18/99,2,0.0,,JackDe02
Dyontae Johnson (NWT),54.0,23.0,LB,0,0.0,230.0,6-2,Toledo,9/28/00,Rook,,,JohnDy00
Jeremiah Martin (NWT),53.0,,OLB,0,0.0,267.0,,Texas A&MWashington,,Rook,,,MartJe00
Jalen Mayfield (NWT),62.0,23.0,G,3,0.0,319.0,6-5,Michigan,5/23/00,2,0.0,Atlanta Falcons / 3rd / 68th pick / 2021,MayfJa00
Joshua Miles (NWT),77.0,27.0,T,0,0.0,325.0,6-5,Morgan St.,1/4/96,4,,Arizona Cardinals / 7th / 248th pick / 2019,MileJo00
Jimmy Morrissey (NWT),,25.0,C,0,0.0,303.0,6-3,Pittsburgh,6/9/98,2,,Las Vegas Raiders / 7th / 230th pick / 2021,MorrJi00
Stantley Thomas-Oliver (NWT),36.0,25.0,CB,0,0.0,190.0,6-1,Florida International,6/4/98,3,,Carolina Panthers / 7th / 221st pick / 2020,ThomSt00
Gary Brightwell (IRD),23.0,24.0,RB,7,0.0,220.0,6-1,Arizona,2/28/99,2,0.0,New York Giants / 6th / 196th pick / 2021,BrigGa00
Randy Bullock (IR),46.0,34.0,K,6,0.0,210.0,5-9,Texas A&M,12/16/89,10,1.0,Houston Texans / 5th / 161st pick / 2012,BullRa00
Lawrence Cager (IR),83.0,26.0,TE,11,0.0,220.0,6-5,Georgia,8/20/97,3,0.0,,CageLa01
Jarrad Davis (IR),57.0,29.0,LB,0,0.0,238.0,6-1,Florida,11/16/94,6,,Detroit Lions / 1st / 21st pick / 2017,DaviJa01
Joshua Ezeudu (IR),75.0,24.0,OL,6,5.0,310.0,6-4,North Carolina,9/19/99,1,2.0,New York Giants / 3rd / 67th pick / 2022,EzeuJo00
Bryce Ford-Wheaton (IR),6.0,23.0,WR,0,0.0,220.0,,West Virginia,3/9/00,Rook,,,FordBr00
Graham Gano (IR),9.0,36.0,K,8,0.0,202.0,6-2,Florida St.,4/9/87,14,0.0,,GanoGr44
J.C. Hassenauer (IR),63.0,28.0,C,0,0.0,295.0,6-2,Alabama,9/15/95,3,,,HassJ.00
Daniel Jones (IR),8.0,26.0,QB,6,6.0,230.0,6-5,Duke,5/27/97,4,0.0,New York Giants / 1st / 6th pick / 2019,JoneDa05
Shane Lemieux (IR),66.0,26.0,G,4,1.0,310.0,6-4,Oregon,5/12/97,3,0.0,New York Giants / 5th / 150th pick / 2020,LemiSh00
Evan Neal (IR),73.0,23.0,T,7,7.0,340.0,6-7,Alabama,9/19/00,1,3.0,New York Giants / 1st / 7th pick / 2022,NealEv00
Tyre Phillips (IR),79.0,26.0,T,10,9.0,330.0,6-5,East Mississippi CCMississippi St.,1/29/97,3,3.0,Baltimore Ravens / 3rd / 106th pick / 2020,PhilTy00
Jason Pinnock (IR),27.0,24.0,S,16,16.0,200.0,6-1,Pittsburgh,6/30/99,2,5.0,New York Jets / 5th / 175th pick / 2021,PinnJa01
Cade York (IR),99.0,22.0,K,0,0.0,206.0,6-1,LSU,1/27/01,1,,Cleveland Browns / 4th / 124th pick / 2022,YorkCa00
Team Total,,26.3,,17,,247.4,6-2.4,,,3.6,,,-9999
Bryan Anger,5.0,35.0,P,17,0.0,202.0,6-3,California,10/6/88,11,2.0,Jacksonville Jaguars / 3rd / 70th pick / 2012,AngeBr00
Dorance Armstrong Jr.,92.0,26.0,DE,17,1.0,255.0,6-4,Kansas,6/10/97,5,2.0,Dallas Cowboys / 4th / 116th pick / 2018,ArmsDo00
Brandon Aubrey,17.0,28.0,K,17,0.0,208.0,6-3,Notre Dame,3/14/95,Rook,5.0,,AubrBr00
T.J. Bass,66.0,24.0,G,17,2.0,325.0,6-4,Butte JC (CA)Oregon,3/31/99,Rook,2.0,,BassTJ00
Markquese Bell,14.0,24.0,S,17,8.0,205.0,,Florida A&M,1/6/99,1,2.0,,BellMa01
Tyler Biadasz,63.0,26.0,C,16,16.0,316.0,6-3,Wisconsin,11/20/97,3,8.0,Dallas Cowboys / 4th / 146th pick / 2020,BiadTy00
DaRon Bland,26.0,24.0,CB,17,15.0,197.0,6-1,Sacramento St.Fresno St.,7/12/99,1,12.0,Dallas Cowboys / 5th / 167th pick / 2022,BlanDa00
Jalen Brooks,83.0,23.0,WR,7,0.0,205.0,,South Carolina,5/7/00,Rook,1.0,Dallas Cowboys / 7th / 244th pick / 2023,BrooJa03
Damone Clark,33.0,23.0,LB,17,17.0,240.0,6-3,LSU,6/28/00,1,8.0,Dallas Cowboys / 5th / 176th pick / 2022,ClarDa02
Brandin Cooks,3.0,30.0,WR,16,15.0,189.0,5-10,Oregon St.,9/25/93,9,8.0,New Orleans Saints / 1st / 20th pick / 2014,CookBr00
Rico Dowdle,23.0,25.0,RB,16,0.0,215.0,6-1,South Carolina,6/14/98,3,4.0,,DowdRi01
Chuma Edoga,71.0,26.0,G,17,6.0,308.0,6-3,USC,5/25/97,4,4.0,New York Jets / 3rd / 92nd pick / 2019,EdogCh00
Viliami Fehoko,93.0,24.0,DE,0,0.0,267.0,,San Jose St.,12/16/99,Rook,,Dallas Cowboys / 4th / 129th pick / 2023,FehoVi00
Jake Ferguson,87.0,24.0,TE,17,16.0,244.0,6-5,Wisconsin,1/18/99,1,9.0,Dallas Cowboys / 4th / 129th pick / 2022,FergJa00
Dante Fowler,56.0,29.0,DE,17,0.0,261.0,6-3,Florida,8/3/94,7,2.0,Jacksonville Jaguars / 1st / 3rd pick / 2015,FowlDa00
Neville Gallimore,96.0,26.0,DT,17,0.0,302.0,6-2,Oklahoma,1/17/97,3,1.0,Dallas Cowboys / 3rd / 82nd pick / 2020,GallNe00
Michael Gallup,13.0,27.0,WR,17,13.0,198.0,6-1,Colorado St.,3/4/96,5,5.0,Dallas Cowboys / 3rd / 81st pick / 2018,GallMi00
Stephon Gilmore,21.0,33.0,CB,17,17.0,190.0,6-1,South Carolina,9/19/90,11,4.0,Buffalo Bills / 1st / 10th pick / 2012,GilmSt00
Chauncey Golston,99.0,25.0,DE,17,3.0,268.0,6-5,Iowa,2/10/98,2,3.0,Dallas Cowboys / 3rd / 84th pick / 2021,GolsCh00
Johnathan Hankins,95.0,31.0,DT,14,14.0,320.0,6-2,Ohio St.,3/30/92,10,7.0,New York Giants / 2nd / 49th pick / 2013,HankJo00
Peyton Hendershot,89.0,24.0,TE,8,1.0,254.0,,Indiana,4/23/99,1,0.0,,HendPe01
Brock Hoffman,67.0,24.0,C,17,2.0,302.0,6-4,Coastal CarolinaVirginia Tech,7/2/99,1,2.0,,HoffBr00
Malik Hooker,28.0,27.0,S,16,15.0,212.0,6-2,Ohio St.,4/2/96,6,4.0,Indianapolis Colts / 1st / 15th pick / 2017,HookMa00
Noah Igbinoghene,19.0,24.0,CB,5,0.0,197.0,5-11,Auburn,11/27/99,3,0.0,Miami Dolphins / 1st / 30th pick / 2020,IgbiNo00
Jayron Kearse,1.0,29.0,S,16,13.0,215.0,6-4,Clemson,2/11/94,7,3.0,Minnesota Vikings / 7th / 244th pick / 2016,KearJa00
CeeDee Lamb,88.0,24.0,WR,17,17.0,200.0,6-2,Oklahoma,4/8/99,3,20.0,Dallas Cowboys / 1st / 17th pick / 2020,LambCe00
Trey Lance,15.0,23.0,QB,0,0.0,226.0,6-4,North Dakota St.,5/9/00,2,,San Francisco 49ers / 1st / 3rd pick / 2021,LancTr00
DeMarcus Lawrence,90.0,31.0,DE,17,17.0,265.0,6-3,Butler (KS)Boise St.,4/28/92,9,11.0,Dallas Cowboys / 2nd / 34th pick / 2014,LawrDe00
Jourdan Lewis,2.0,28.0,CB,16,8.0,195.0,5-10,Michigan,8/31/95,6,3.0,Dallas Cowboys / 3rd / 92nd pick / 2017,LewiJo01
Hunter Luepke,40.0,23.0,RB,17,0.0,238.0,,North Dakota St.,2/28/00,Rook,0.0,,LuepHu00
Zack Martin,70.0,33.0,G,15,15.0,315.0,6-4,Notre Dame,11/20/90,9,14.0,Dallas Cowboys / 1st / 16th pick / 2014,MartZa00
Israel Mukuamu,24.0,24.0,S,14,0.0,205.0,6-4,South Carolina,11/28/99,2,1.0,Dallas Cowboys / 6th / 227th pick / 2021,MukuIs00
Osa Odighizuwa,97.0,25.0,DT,17,17.0,280.0,6-2,UCLA,8/13/98,2,8.0,Dallas Cowboys / 3rd / 75th pick / 2021,OdigOs00
Micah Parsons,11.0,24.0,LB,17,17.0,245.0,6-3,Penn St.,5/26/99,2,15.0,Dallas Cowboys / 1st / 12th pick / 2021,ParsMi00
Tony Pollard,20.0,26.0,RB,17,17.0,209.0,6-1,Memphis,4/30/97,4,11.0,Dallas Cowboys / 4th / 128th pick / 2019,PollTo00
Dak Prescott,4.0,30.0,QB,17,17.0,238.0,6-2,Mississippi St.,7/29/93,7,19.0,Dallas Cowboys / 4th / 135th pick / 2016,PresDa01
Asim Richards,76.0,23.0,OL,8,0.0,307.0,6-4,North Carolina,10/2/00,Rook,1.0,Dallas Cowboys / 5th / 169th pick / 2023,RichAs00
Cooper Rush,10.0,30.0,QB,7,0.0,225.0,6-3,Central Michigan,11/21/93,6,0.0,,RushCo00
Luke Schoonmaker,86.0,25.0,TE,17,0.0,250.0,6-5,Michigan,9/28/98,Rook,1.0,Dallas Cowboys / 2nd / 58th pick / 2023,SchoLu00
Eric Scott,37.0,25.0,CB,0,0.0,197.0,,Butler (KS)Southern Miss,8/7/98,Rook,,Dallas Cowboys / 6th / 178th pick / 2023,ScotEr00
Trent Sieg,44.0,28.0,LS,17,0.0,240.0,6-3,Colorado St.,5/19/95,5,1.0,,SiegTr00
Mazi Smith,58.0,22.0,DT,17,3.0,337.0,,Michigan,6/16/01,Rook,2.0,Dallas Cowboys / 1st / 26th pick / 2023,SmitMa06
Tyler Smith,73.0,22.0,OL,14,14.0,332.0,6-6,Tulsa,4/3/01,1,11.0,Dallas Cowboys / 1st / 24th pick / 2022,SmitTy02
Tyron Smith,77.0,33.0,T,13,13.0,320.0,6-5,USC,12/12/90,12,12.0,Dallas Cowboys / 1st / 9th pick / 2011,SmitTy00
Terence Steele,78.0,26.0,T,17,17.0,310.0,6-6,Texas Tech,6/4/97,3,10.0,,SteeTe01
Juanyeh Thomas,30.0,23.0,S,16,1.0,217.0,,Georgia Tech,6/24/00,Rook,1.0,,ThomJu03
Jalen Tolbert,18.0,24.0,WR,17,6.0,195.0,6-1,South Alabama,2/27/99,1,3.0,Dallas Cowboys / 3rd / 88th pick / 2022,TolbJa00
KaVontae Turpin,9.0,27.0,WR,16,0.0,153.0,5-9,TCU,8/2/96,1,2.0,,TurpKa00
Matt Waletzko,79.0,24.0,T,1,0.0,305.0,6-6,North Dakota,12/15/99,1,0.0,Dallas Cowboys / 5th / 155th pick / 2022,WaleMa00
Tyrus Wheat,91.0,24.0,DE,12,0.0,260.0,,Copiah-Lincoln CCMississippi St.,12/8/99,Rook,1.0,,WheaTy02
Sam Williams,54.0,24.0,DE,17,0.0,261.0,6-4,Northeast Mississippi CCMississippi,3/31/99,1,2.0,Dallas Cowboys / 2nd / 56th pick / 2022,WillSa00
Donovan Wilson,6.0,28.0,S,15,13.0,204.0,6-1,Texas A&M,2/21/95,4,4.0,Dallas Cowboys / 6th / 213th pick / 2019,WilsDo01
Nahshon Wright,25.0,25.0,CB,12,0.0,185.0,6-4,LaneyOregon St.,9/23/98,2,0.0,Dallas Cowboys / 3rd / 99th pick / 2021,WrigNa00
Earl Bostick (NWT),64.0,25.0,T,0,0.0,310.0,,Kansas,12/31/98,Rook,,,BostEa00
Martavis Bryant (NWT),17.0,32.0,WR,0,0.0,210.0,6-4,Clemson,12/20/91,9,,Pittsburgh Steelers / 4th / 118th pick / 2014,BryaMa00
Josh Butler (NWT),40.0,27.0,CB,0,0.0,182.0,6-1,Michigan State,11/25/96,Rook,,,ButlJo00
Snoop Conner (NWT),24.0,23.0,RB,0,0.0,222.0,5-10,Mississippi,8/1/00,1,,Jacksonville Jaguars / 5th / 154th pick / 2022,ConnSn00
Malik Davis (NWT),34.0,25.0,RB,3,0.0,202.0,5-11,Florida,11/26/98,1,0.0,,DaviMa02
Princeton Fant (NWT),48.0,24.0,TE,2,0.0,235.0,6-2,Tennessee,3/11/99,Rook,0.0,,FantPr00
Buddy Johnson (NWT),57.0,24.0,LB,2,0.0,240.0,6-2,Texas A&M,2/27/99,2,0.0,Pittsburgh Steelers / 4th / 140th pick / 2021,JohnBu01
Durrell Johnson (NWT),51.0,25.0,DE,0,0.0,240.0,6-3,Liberty,6/26/98,Rook,,,JohnDu01
Racey McMath (NWT),80.0,24.0,WR,0,0.0,217.0,6-3,LSU,6/14/99,2,,Tennessee Titans / 6th / 205th pick / 2021,McMaRa00
Jalen Moreno-Cropper (NWT),16.0,22.0,WR,0,0.0,172.0,,Fresno St.,5/3/01,Rook,,,MoreJa01
Sheldrick Redwine (NWT),36.0,27.0,DB,1,0.0,196.0,6-1,Miami (FL),11/6/96,4,0.0,Cleveland Browns / 4th / 119th pick / 2019,RedwSh00
Dakoda Shepley (NWT),65.0,29.0,T,0,0.0,290.0,6-5,British Columbia,12/27/94,3,,,ShepDa01
Josh Ball (IR),75.0,25.0,T,0,0.0,304.0,6-8,Butler (KS)Marshall,5/15/98,1,,Dallas Cowboys / 4th / 138th pick / 2021,BallJo00
Trevon Diggs (IR),7.0,25.0,CB,2,2.0,195.0,6-2,Alabama,9/20/98,3,1.0,Dallas Cowboys / 2nd / 51st pick / 2020,DiggTr00
David Durden (IR),85.0,25.0,WR,0,0.0,200.0,6-2,West Florida,12/26/98,Rook,,,DurdDa00
C.J. Goodwin (IR),29.0,33.0,CB,5,0.0,190.0,6-3,California (PA),2/4/90,7,0.0,,GoodC.00
Sean McKeon (IR),84.0,26.0,TE,9,0.0,238.0,6-5,Michigan,12/28/97,3,0.0,,McKeSe01
DeMarvion Overshown (IR),35.0,23.0,LB,0,0.0,220.0,,Texas,8/13/00,Rook,,Dallas Cowboys / 3rd / 90th pick / 2023,OverDe00
John Stephens (IR),49.0,24.0,WR,0,0.0,221.0,6-5,Louisiana,9/23/99,Rook,,,StepJo02
Leighton Vander Esch (IR),55.0,27.0,LB,5,5.0,256.0,6-4,Boise St.,2/8/96,5,3.0,Dallas Cowboys / 1st / 19th pick / 2018,VandLe00
Deuce Vaughn (IR),42.0,22.0,RB,7,0.0,176.0,,Kansas St.,11/2/01,Rook,1.0,Dallas Cowboys / 6th / 212th pick / 2023,VaugDe00
